"mid","oid","q1","q2","q3","q4","q5","uniqueid","q6"
"114","24","1","2","2","3","3","59184","0"
"114","25","1","2","2","3","3","59185","0"
"114","26","1","2","2","3","3","59186","0"
"114","26","1","2","2","3","3","59187","0"
"114","27","1","2","2","3","3","59188","0"
"114","28","1","2","2","3","3","59189","0"
"114","29","1","2","2","3","3","59190","0"
"114","30","1","2","2","3","3","59191","0"
"114","31","1","2","2","3","3","59192","0"
"114","32","1","2","2","3","3","59193","0"
"114","33","1","2","2","3","3","59194","0"
"114","34","1","2","2","3","3","59195","0"
"114","35","2","2","2","3","3","59196","0"
"114","36","2","2","2","2","3","59197","0"
"114","37","3","1","2","3","3","59198","0"
"114","38","1","2","2","3","3","59199","0"
"114","39","1","2","2","3","3","59200","0"
"114","40","1","2","2","3","3","59201","0"
"114","40","1","2","2","3","3","59202","0"
"114","41","1","2","2","3","3","59203","0"
"114","42","1","2","2","3","3","59204","0"
"114","43","1","2","2","3","3","59205","0"
"114","44","1","2","2","3","3","59206","0"
"114","45","1","2","2","3","3","59207","0"
"114","46","1","2","2","3","3","59208","0"
"114","47","1","2","2","3","3","59209","0"
"114","48","1","2","2","3","3","59210","0"
"114","49","1","2","2","3","3","59211","0"
"114","50","1","2","2","3","3","59212","0"
"114","50","1","2","2","3","3","59213","0"
"114","51","1","2","2","3","3","59214","0"
"114","52","1","2","2","3","3","59215","0"
"114","52","1","2","2","3","3","59216","0"
"114","53","1","2","2","3","3","59217","0"
"114","54","1","2","2","3","3","59218","0"
"114","55","1","2","2","3","3","59219","0"
"114","56","1","2","2","3","3","59220","0"
"114","57","1","2","2","3","3","59221","0"
"114","58","1","2","2","3","3","59222","0"
"114","59","1","2","2","3","3","59223","0"
"114","60","1","2","2","3","3","59224","0"
"114","61","1","2","2","3","3","59225","0"
"114","62","1","2","2","3","3","59226","0"
"114","63","1","2","2","3","3","59227","0"
"114","64","1","2","2","3","3","59228","0"
"114","65","1","2","2","3","3","59229","0"
"114","66","1","2","2","3","3","59230","0"
"114","67","1","2","2","3","3","59231","0"
"114","68","1","2","2","3","3","59232","0"
"114","69","1","2","2","3","3","59233","0"
"114","70","1","2","2","3","3","59234","0"
"114","71","1","2","2","3","3","59235","0"
"114","72","1","2","2","3","3","59236","0"
"114","73","1","2","2","3","3","59237","0"
"114","74","1","2","2","3","3","59238","0"
